ID,Ward,Explanation_Optional
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65,
66,66,
67,67,
68,eeNorth,
69,Eesouth,
70,Eedharwad,
71,R0,Revenue
72,CS,Council;
73,GA,General Admin
74,AU,Audit
75,IT,
76,SE,Superintendent Engg
77,HE,health
78,ro,
79,ge,
80,0,
81,HO,
82,AC,
83,PR,
84,LA,Law
85,TP,Town Planning
86,SO,Special officer
87,el,
88,EL,
89,EP,Project
90,96,
91,SW,Solid waste management
92,EC,election
93,AY,ashray
96,ed,electrical_dharwad
97,es,electrical_south
98,en,electriclal_north
99,Te,
100,hs,horti_south
101,hn,horti_north
102,hd,horti_dharwad
103,MH,waterboard_hubli
104,MD,waterboard_dwd
106,la,
107,P2,project2
108,CO,central office
